"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.80634905630589,0.936,0.141,0,"0","GZMA"
0,2.63661498602719,0.959,0.169,0,"0","CST7"
0,2.61718333897803,0.983,0.214,0,"0","NKG7"
0,2.74256491706239,0.98,0.281,0,"0","CCL5"
0,3.32565642194647,0.771,0.1,0,"0","GZMH"
0,2.01941733864333,0.814,0.212,0,"0","CTSW"
0,1.96168375625637,0.707,0.116,0,"0","PRF1"
0,2.10163276373979,0.813,0.276,0,"0","GZMM"
0,3.62333444659814,0.613,0.078,0,"0","KLRG1"
0,1.81810895207942,0.642,0.137,0,"0","GNLY"
0,2.49208607395743,0.582,0.086,0,"0","FGFBP2"
0,1.5640570400626,0.912,0.434,0,"0","CD3D"
0,2.07100151084767,0.598,0.126,0,"0","CCL4"
0,2.25647770615276,0.562,0.096,0,"0","KLRD1"
0,1.34026423327635,0.974,0.51,0,"0","CD3E"
0,2.13994746265258,0.561,0.112,0,"0","HOPX"
0,1.73650596147592,0.644,0.206,0,"0","C12orf75"
0,1.6404186717158,0.993,0.586,0,"0","IL32"
0,1.56264558660699,0.709,0.309,0,"0","CD3G"
0,1.62088051819677,0.494,0.1,0,"0","GZMB"
0,2.98638256647975,0.507,0.116,0,"0","CD8A"
0,2.0674125879848,0.764,0.389,0,"0","DUSP2"
0,2.33831272337765,0.482,0.11,0,"0","SAMD3"
0,2.14616330413129,0.517,0.145,0,"0","KLRB1"
0,1.23002235301476,0.756,0.393,0,"0","LCK"
0,1.48506622024901,0.66,0.299,0,"0","CD2"
0,2.41641934918557,0.441,0.082,0,"0","MATK"
0,1.19664543382316,0.954,0.602,0,"0","PTPRCAP"
0,1.49142593560625,0.733,0.381,0,"0","SLC9A3R1"
0,3.28709661012051,0.404,0.06,0,"0","GZMK"
0,1.05592401347103,0.662,0.323,0,"0","CD247"
0,1.81170328167826,0.493,0.17,0,"0","APMAP"
0,1.24948229443365,0.607,0.288,0,"0","ZAP70"
0,1.38504548218586,0.813,0.495,0,"0","LITAF"
0,1.18425327171568,0.884,0.567,0,"0","IL2RG"
0,1.38488336940323,0.631,0.322,0,"0","PPP2R5C"
0,1.0790277108285,0.418,0.11,0,"0","SPON2"
0,2.48962397478924,0.367,0.06,0,"0","AC092580.4"
0,1.12877095222354,0.592,0.288,0,"0","PLEK"
0,1.2007002671518,0.643,0.341,0,"0","CTSC"
0,1.38075256986939,0.567,0.271,0,"0","GNG2"
0,1.38008062137637,0.947,0.651,0,"0","HCST"
0,0.730969552013032,0.834,0.543,0,"0","ANXA1"
0,0.90995035251616,0.987,0.699,0,"0","IFITM1"
0,1.22069769657073,0.742,0.455,0,"0","C9orf142"
0,1.31740306005867,0.484,0.201,0,"0","SYNE2"
0,1.84427889535458,0.448,0.166,0,"0","APOBEC3G"
