"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TYROBP",0,6.55404974366246,0.971,0.05,0
"LYZ",0,7.59371972760585,0.952,0.076,0
"CST3",0,5.82083636514273,0.962,0.086,0
"FCER1G",0,5.24738179971638,0.941,0.069,0
"HLA-DRA",0,5.02107429687325,0.946,0.111,0
"S100A9",0,7.49876018251573,0.909,0.078,0
"FCN1",0,7.78698694375128,0.828,0.017,0
"LST1",0,5.31008913297432,0.87,0.075,0
"CD3E",0,-3.74661640169489,0.146,0.941,0
"SERPINA1",0,7.74172923429651,0.8,0.01,0
"CSTA",0,8.54835566748387,0.794,0.006,0
"S100A8",0,8.27122100522253,0.893,0.106,0
"SPI1",0,6.92340293942988,0.788,0.013,0
"TYMP",0,4.86509046725733,0.879,0.109,0
"HLA-DRB1",0,4.20505019250011,0.911,0.149,0
"MNDA",0,7.29174613112297,0.755,0.012,0
"CD14",0,7.98684395897062,0.75,0.007,0
"IL32",0,-3.47176756183333,0.187,0.927,0
"AIF1",0,4.61641838317842,0.919,0.185,0
"LTB",0,-3.83600418725091,0.217,0.942,0
"PTPRCAP",0,-3.16829246510182,0.155,0.862,0
"CD68",0,5.32109808023461,0.732,0.028,0
"MS4A6A",0,5.90151122954477,0.719,0.017,0
"CD3D",0,-3.51045059540006,0.116,0.816,0
"VCAN",0,7.70314461568828,0.707,0.009,0
"IL7R",0,-3.84141604944523,0.116,0.806,0
"GRN",0,4.2817115748102,0.77,0.08,0
"LGALS1",0,3.69984594057213,0.913,0.226,0
"S100A12",0,8.43275712840767,0.696,0.009,0
"KLF4",0,5.9292633898931,0.701,0.026,0
"IFITM3",0,4.85178012877924,0.834,0.161,0
"CLEC7A",0,8.07200434853116,0.672,0.005,0
"RGS2",0,4.19731393178213,0.775,0.11,0
"LGALS3",0,3.93270631066668,0.741,0.084,0
"CYBB",0,5.9174624624696,0.672,0.018,0
"FGR",0,6.50636279654499,0.664,0.011,0
"CFD",0,5.91715132096003,0.677,0.026,0
"FGL2",0,6.00143284603734,0.67,0.021,0
"CTSS",0,4.27091276171181,0.901,0.271,0
"RNF130",0,4.07524769594645,0.693,0.072,0
"HLA-DMA",0,4.08713990751763,0.684,0.065,0
"GPX1",0,3.58848475724974,0.827,0.214,0
"CSF3R",0,7.78197077274574,0.616,0.005,0
"NCF2",0,6.9398958498266,0.62,0.009,0
"IGSF6",0,6.99515618153069,0.614,0.009,0
"PLAUR",0,6.73346941073895,0.618,0.013,0
"TNFSF13B",0,4.22012555142095,0.664,0.061,0
"HLA-DPA1",0,3.64657309107684,0.842,0.24,0
"NAMPT",0,4.14357587232952,0.68,0.084,0
"ZEB2",0,4.99251360620993,0.625,0.029,0
"LCK",0,-3.55576202045859,0.093,0.683,0
"EVL",0,-2.86397715849064,0.246,0.836,0
"TNFAIP2",0,7.49018370666436,0.595,0.005,0
"PYCARD",0,3.28206413963325,0.784,0.195,0
"LILRB2",0,6.58375788260995,0.578,0.008,0
"GLUL",0,3.93158562241218,0.665,0.097,0
"NCF1",0,3.85682789289349,0.762,0.197,0
"TCF7",0,-4.01913180400601,0.068,0.631,0
"APLP2",0,3.93341675879167,0.629,0.068,0
"LYN",0,4.94659345544991,0.579,0.02,0
"HLA-DPB1",0,3.42726995610699,0.835,0.277,0
"FPR1",0,8.1181479508889,0.558,0.003,0
"RAB31",0,6.00454732080898,0.566,0.012,0
"CEBPD",0,6.69510229707876,0.56,0.008,0
"BLVRB",0,4.27243263014351,0.603,0.051,0
"LGALS2",0,7.73525035864433,0.555,0.006,0
"IFITM1",0,-2.43615450248488,0.41,0.959,0
"CPVL",0,7.28826676762412,0.551,0.006,0
"NPC2",0,3.10526299216154,0.863,0.324,0
"PSAP",0,3.40370725725411,0.916,0.379,0
"AP1S2",0,3.21084952505505,0.723,0.186,0
"CFP",0,3.9345856376905,0.6,0.066,0
"FAM26F",0,4.87427110343831,0.575,0.043,0
"CD69",0,-2.73527275380012,0.24,0.768,0
"HCK",0,6.90059242996919,0.533,0.006,0
"CD302",0,5.84391567629397,0.538,0.013,0
"ASAH1",0,2.86950273490511,0.692,0.169,0
"HLA-DQB1",0,4.20819177343291,0.574,0.054,0
"CD3G",0,-3.54784917268893,0.078,0.594,0
"MAL",0,-4.21880483063341,0.052,0.568,0
"ODF3B",0,3.58750340845134,0.586,0.071,0
"CD7",0,-3.01752747971993,0.142,0.656,0
"CTSB",0,3.12981307084447,0.709,0.196,0
"CLEC12A",0,7.5906800712969,0.516,0.004,0
"FCGRT",0,2.94746456613981,0.642,0.132,0
"PILRA",0,7.35438030155459,0.511,0.004,0
"IFI30",0,6.73091160921017,0.515,0.008,0
"PTPRE",0,3.48568070628927,0.574,0.067,0
"PLEK",0,3.51884628779815,0.555,0.049,0
"LY86",0,6.30527728491066,0.511,0.008,0
"IL2RG",0,-2.39896730669886,0.261,0.764,0
"WARS",0,4.23292082751074,0.557,0.054,0
"LINC00936",0,3.30938144098227,0.673,0.172,0
"CD36",0,6.1248175404543,0.513,0.012,0
"CDKN1A",0,4.03083983859668,0.557,0.057,0
"LAT",0,-3.30237817831039,0.103,0.602,0
"LEF1",0,-4.19928599494062,0.052,0.55,0
"HLA-DMB",0,4.75069683249475,0.52,0.025,0
"CAMK4",0,-4.22596910296155,0.049,0.543,0
"SLC11A1",0,6.09352476710013,0.505,0.011,0
"GNAI2",0,2.55941568229956,0.682,0.191,0
"AGTRAP",0,3.36879878816531,0.585,0.094,0
"CAPG",0,2.88343250949698,0.601,0.113,0
"SAT1",0,3.49175328096517,0.955,0.467,0
"FCGR1A",0,8.40493189111118,0.487,0.002,0
"MPEG1",0,4.3774877730955,0.501,0.017,0
"ANXA2",0,2.31449080365887,0.702,0.219,0
"SPOCK2",0,-3.72490132516059,0.073,0.553,0
"CTSD",0,2.94640876115211,0.75,0.27,0
"HSBP1",0,2.95709080011043,0.588,0.109,0
"HLA-DQA1",0,4.01772616437438,0.535,0.057,0
"STXBP2",0,2.82574052296812,0.668,0.191,0
"PGD",0,3.31395697432905,0.573,0.096,0
"MS4A7",0,7.42958340527594,0.481,0.004,0
"SEPT1",0,-3.08596936368181,0.102,0.579,0
"AP2S1",0,2.37802464030943,0.744,0.269,0
"LINC00861",0,-3.74070496866762,0.074,0.546,0
"BRI3",0,3.74676708356077,0.53,0.059,0
"SLC7A7",0,7.32417027655732,0.475,0.004,0
"IFNGR2",0,2.97150124250972,0.578,0.109,0
"ATP6V0B",0,2.30891366001166,0.758,0.29,0
"MEF2C",0,4.47753513822388,0.486,0.019,0
"S100A11",0,2.94554763609875,0.951,0.485,0
"FLT3LG",0,-3.09171306494439,0.146,0.611,0
"MYO1F",0,2.53617362975633,0.589,0.126,0
"KLF10",0,3.24969323836204,0.541,0.081,0
"SNX10",0,3.82286360198021,0.511,0.053,0
"CARD16",0,2.41920181811797,0.753,0.295,0
"CTSH",0,3.42981200846745,0.512,0.055,0
"MAFB",0,7.99414896316179,0.461,0.004,0
"C19orf38",0,6.43806553578304,0.464,0.007,0
"TKT",0,2.85258064396289,0.76,0.308,0
"LDHB",0,-2.42640627154104,0.473,0.921,0
"CD2",0,-3.41129402408066,0.087,0.534,0
"C12orf57",0,-1.89710557223677,0.409,0.855,0
"THEMIS2",0,3.17911417044585,0.523,0.078,0
"GSTP1",0,2.672166330988,0.856,0.411,0
"FCMR",0,-3.7304090648662,0.066,0.509,0
"LGALS9",0,2.62274447233094,0.561,0.119,0
"SOD2",0,2.5367085904086,0.709,0.267,0
"PLBD1",0,8.22795630679193,0.443,0.002,0
"AES",0,-2.17504336823623,0.397,0.838,0
"LAP3",0,2.8285681905339,0.568,0.128,0
"CD63",0,2.73138908021369,0.591,0.151,0
"HLA-DRB5",0,3.11174484516164,0.514,0.075,0
"ALDH2",0,5.71641938563511,0.451,0.012,0
"CD247",0,-3.18546434506106,0.079,0.517,0
"RHOB",0,3.89973821848983,0.499,0.061,0
"CTSZ",0,4.86212895626346,0.46,0.023,0
"ANXA5",0,2.04956479229768,0.721,0.285,0
"GCA",0,3.6225496874711,0.486,0.053,0
"CD27",0,-4.03445601061986,0.047,0.48,0
"MAP3K8",0,3.32980589102396,0.495,0.063,0
"ATOX1",0,2.51213469097271,0.585,0.154,0
"C4orf48",0,1.8982135350965,0.702,0.275,0
"ATF3",0,4.2159206939866,0.459,0.033,0
"TALDO1",0,2.40552942834784,0.738,0.314,0
"RP11-1143G9.4",0,8.8718811484223,0.423,0.002,0
"CPPED1",0,4.51090232623235,0.445,0.025,0
"CASP1",0,2.28998848566932,0.591,0.173,0
"ZNF385A",0,6.73715672802362,0.423,0.005,0
"GLRX",0,2.13900089764442,0.653,0.236,0
"RAC1",0,2.15537169974576,0.846,0.429,0
"PLXDC2",0,7.09889067577549,0.42,0.003,0
"PLSCR1",0,2.83023541707232,0.502,0.087,0
"TIMP1",0,2.09123377230215,0.709,0.295,0
"C10orf54",0,1.99991127430218,0.726,0.312,0
"LILRB3",0,7.59954366146147,0.417,0.003,0
"GSTO1",0,2.28053712162565,0.591,0.179,0
"EFHD2",0,3.41833138642095,0.463,0.052,0
"AQP3",0,-4.41268338885767,0.038,0.449,0
"TRBC2",0,-3.14558232555772,0.089,0.499,0
"RHOH",0,-3.37725501078936,0.072,0.48,0
"VMP1",0,2.35517545783086,0.578,0.171,0
"TNFRSF1B",0,2.21063795675434,0.544,0.139,0
"ABLIM1",0,-3.62987318221205,0.066,0.47,0
"DMXL2",0,5.71477111862567,0.415,0.011,0
"CD300E",0,7.62664590002382,0.407,0.003,0
"LILRA5",0,6.8083001061113,0.409,0.005,0
"CD6",0,-3.90960669400238,0.053,0.456,0
"CECR1",0,2.63588816533933,0.513,0.11,0
"SDCBP",0,2.22305187483074,0.624,0.222,0
"ATP6V0D1",0,2.47433852075074,0.527,0.125,0
"GRINA",0,2.27022584466909,0.562,0.161,0
"JAML",0,2.38120896559034,0.528,0.127,0
"BCL2A1",0,2.96327687467712,0.522,0.121,0
"PIK3IP1",0,-3.08748224316747,0.101,0.501,0
"NUP214",0,2.80907026135509,0.481,0.081,0
"C1orf162",0,1.90760169679639,0.73,0.332,0
"NEAT1",0,2.84315635110589,0.948,0.55,0
"FCGR2A",0,7.35314476692832,0.4,0.003,0
"ZAP70",0,-3.36670284413458,0.068,0.463,0
"CLEC4A",0,6.38025425524058,0.402,0.007,0
"TMEM176B",0,8.12104903269416,0.396,0.002,0
"OCIAD2",0,-3.17283693016635,0.076,0.47,0
"SRGN",0,2.46603974460519,0.928,0.535,0
"MT2A",0,2.62113691963514,0.796,0.403,0
"PRELID1",0,2.22216798975773,0.765,0.374,0
"ID2",0,2.47535016013631,0.596,0.206,0
"STX11",0,3.9934696679105,0.422,0.032,0
"ASGR1",0,8.07716018129362,0.392,0.002,0
"H2AFY",0,2.07368449409417,0.574,0.184,0
"KCTD12",0,5.97830317103548,0.398,0.009,0
"CRTAP",0,2.1998320035283,0.561,0.173,0
"LYST",0,2.85895098916677,0.463,0.075,0
"CCL3",0,8.29553532921537,0.393,0.005,0
"LRRC25",0,6.68296909396491,0.393,0.005,0
"SCO2",0,3.93280488614209,0.424,0.037,0
"RAB24",0,2.40623709502496,0.507,0.121,0
"TNFSF10",0,2.57209404090507,0.525,0.141,0
"DUSP6",0,4.75542343975091,0.407,0.023,0
"NOP10",0,1.81614119731852,0.69,0.306,0
"NOSIP",0,-2.25076826303548,0.322,0.706,0
"LRP1",0,5.89282281785407,0.391,0.008,0
"CD86",0,6.91490255115511,0.387,0.005,0
"NAIP",0,3.71241910360735,0.414,0.033,0
"IER3",0,4.1047517181434,0.428,0.047,0
"TGFBI",0,4.72465161766577,0.395,0.015,0
"SYK",0,5.01497916974572,0.391,0.013,0
"SMCO4",0,4.4058786255494,0.403,0.026,0
"CEBPB",0,3.23489854375184,0.445,0.069,0
"GNG5",0,1.84261651435693,0.814,0.438,0
"JUND",0,1.87117214262453,0.692,0.316,0
"PAK1",0,3.95816829767144,0.404,0.029,0
"MARCH1",0,5.73707117701657,0.382,0.008,0
"CD33",0,7.55844308631051,0.377,0.003,0
"MGAT4A",0,-2.24903097588819,0.162,0.535,0
"GLIPR2",0,2.05467787238578,0.538,0.165,0
"PRAM1",0,6.95594075879976,0.377,0.004,0
"IL1B",0,9.25462355083008,0.371,0.001,0
"EIF4EBP1",0,3.47557660522527,0.416,0.046,0
"LY96",0,3.13215259833388,0.439,0.069,0
